"material","provider","thickness","length","width","display","sheet_cost"
"Aluminum 7075-T6","online-metals",0.04,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.040",27.63
"Aluminum 7075-T6","online-metals",0.04,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.040",22.09
"Aluminum 7075-T6","online-metals",0.05,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.050",81.6
"Aluminum 7075-T6","online-metals",0.05,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.050",62.6
"Aluminum 7075-T6","online-metals",0.05,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.050",42.69
"Aluminum 7075-T6","online-metals",0.05,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.050",42.69
"Aluminum 7075-T6","online-metals",0.05,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.050",34.14
"Aluminum 7075-T6","online-metals",0.05,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.050",26.58
"Aluminum 7075-T6","online-metals",0.05,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.050",13.75
"Aluminum 7075-T6","online-metals",0.04,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.040",95.84
"Aluminum 7075-T6","online-metals",0.04,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.040",75.39
"Aluminum 7075-T6","online-metals",0.04,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.040",67.02
"Aluminum 7075-T6","online-metals",0.04,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.040",51.44
"Stainless Steel 316L","online-metals",0.005,1200,24,"Stainless Steel 316L-L-1200.000-W-24.000-T-0.005",1233.3
"Stainless Steel 316","online-metals",0.005,1200,24,"Stainless Steel 316-L-1200.000-W-24.000-T-0.005",1233.3
"Stainless Steel 316L","online-metals",0.005,1200,12,"Stainless Steel 316L-L-1200.000-W-12.000-T-0.005",616.65
"Stainless Steel 316","online-metals",0.005,1200,12,"Stainless Steel 316-L-1200.000-W-12.000-T-0.005",616.65
"Stainless Steel 316L","online-metals",0.003,1200,24,"Stainless Steel 316L-L-1200.000-W-24.000-T-0.003",690.94
"Stainless Steel 316","online-metals",0.003,1200,24,"Stainless Steel 316-L-1200.000-W-24.000-T-0.003",690.94
"Stainless Steel 316L","online-metals",0.003,1200,12,"Stainless Steel 316L-L-1200.000-W-12.000-T-0.003",345.47
"Stainless Steel 316","online-metals",0.003,1200,12,"Stainless Steel 316-L-1200.000-W-12.000-T-0.003",345.47
"Stainless Steel 304-#4","online-metals",0.005,1200,24,"Stainless Steel 304-#4-L-1200.000-W-24.000-T-0.005",999.67
"Stainless Steel 304-2B","online-metals",0.005,1200,24,"Stainless Steel 304-2B-L-1200.000-W-24.000-T-0.005",999.67
"Stainless Steel 304","online-metals",0.005,1200,24,"Stainless Steel 304-L-1200.000-W-24.000-T-0.005",999.67
"Stainless Steel 304-#4","online-metals",0.005,1200,12,"Stainless Steel 304-#4-L-1200.000-W-12.000-T-0.005",499.84
"Stainless Steel 304-2B","online-metals",0.005,1200,12,"Stainless Steel 304-2B-L-1200.000-W-12.000-T-0.005",499.84
"Stainless Steel 304","online-metals",0.005,1200,12,"Stainless Steel 304-L-1200.000-W-12.000-T-0.005",499.84
"Stainless Steel 304-#4","online-metals",0.003,1200,24,"Stainless Steel 304-#4-L-1200.000-W-24.000-T-0.003",632.45
"Stainless Steel 304-2B","online-metals",0.003,1200,24,"Stainless Steel 304-2B-L-1200.000-W-24.000-T-0.003",632.45
"Stainless Steel 304","online-metals",0.003,1200,24,"Stainless Steel 304-L-1200.000-W-24.000-T-0.003",632.45
"Stainless Steel 304-#4","online-metals",0.003,1200,12,"Stainless Steel 304-#4-L-1200.000-W-12.000-T-0.003",316.22
"Stainless Steel 304-2B","online-metals",0.003,1200,12,"Stainless Steel 304-2B-L-1200.000-W-12.000-T-0.003",316.22
"Stainless Steel 304","online-metals",0.003,1200,12,"Stainless Steel 304-L-1200.000-W-12.000-T-0.003",316.22
"Stainless Steel 304-#4","online-metals",0.002,1200,24,"Stainless Steel 304-#4-L-1200.000-W-24.000-T-0.002",415.45
"Stainless Steel 304-2B","online-metals",0.002,1200,24,"Stainless Steel 304-2B-L-1200.000-W-24.000-T-0.002",415.45
"Stainless Steel 304","online-metals",0.002,1200,24,"Stainless Steel 304-L-1200.000-W-24.000-T-0.002",415.45
"Stainless Steel 304-#4","online-metals",0.002,1200,12,"Stainless Steel 304-#4-L-1200.000-W-12.000-T-0.002",216.04
"Stainless Steel 304-2B","online-metals",0.002,1200,12,"Stainless Steel 304-2B-L-1200.000-W-12.000-T-0.002",216.04
"Stainless Steel 304","online-metals",0.002,1200,12,"Stainless Steel 304-L-1200.000-W-12.000-T-0.002",216.04
